开始时间,结束时间,字幕内容,字幕颜色
0:13:37.91,0:13:39.51,when brother-in-law is pressing you down,,
0:13:39.51,0:13:40.32,is he heavy!,
0:13:40.32,0:13:41.09,Hahaha!,
0:13:41.86,0:13:42.51,Nangong Shunu: Haha~,
0:13:43.00,0:13:44.44,Nangong Jingnu: Da-jie!,#FF7D40
0:13:44.66,0:13:46.71,You’re someone who’s become a mother more than once,,#FF7D40
0:13:46.71,0:13:47.87,and you’re still so inappropriate,,#FF7D40
0:13:48.78,0:13:50.46,I… I’m telling Emperor Father!,#FF7D40
0:13:50.66,0:13:51.23,Hmph!,#FF7D40
0:13:51.23,0:13:52.23,Nangong Sunu: Hahaha…,
0:13:58.29,0:13:59.87,Timekeeper: The weather is dry,,
0:14:00.20,0:14:02.90,use candles with care.,
0:14:10.42,0:14:13.95,[Princess estate],
0:14:16.71,0:14:17.76,Servant girl: Lord Fuma,,
0:14:17.76,0:14:19.63,Her Highness has lit the summoning lantern,,
0:14:19.63,0:14:21.60,please get ready for the night, Lord Fuma.,
0:14:24.94,0:14:25.82,Qi Yan: Got it.,#A9A0FF
0:14:26.34,0:14:27.58,Servant girl: Please excuse this maid.,
0:14:32.08,0:14:33.46,Qi Yan: There’s no avoiding it after all.,#A9A0FF
0:14:43.08,0:14:43.93,Qiuju: Lord Fuma.,
0:14:45.57,0:14:46.57,Qi Yan: Qiuju jiejie,,#A9A0FF
0:14:46.83,0:14:48.05,I’ll trouble you to give a notice.,#A9A0FF
0:14:48.57,0:14:49.20,Qiuju: Understood.,
0:14:50.48,0:14:51.21,Your Highness…,
0:14:51.21,0:14:52.31,Nangong Jingnu: Let him in!,#FF7D40
0:14:53.81,0:14:55.41,Qiuju: Lord Fuma, please.,
0:14:55.74,0:14:56.47,Qi Yan: Many thanks.,#A9A0FF
0:14:57.16,0:14:58.49,Go and rest, Qiuju jiejie.,#A9A0FF
0:14:59.20,0:14:59.85,Qiuju: Understood.,
0:15:08.43,0:15:09.37,Nangong Jingnu: You’re here!,#FF7D40
0:15:09.93,0:15:12.00,Qi Yan: **The Wei people slaughtered my people.**,#A9A0FF
0:15:12.69,0:15:14.46,**Not only am I unable to avenge them,**,#A9A0FF
0:15:16.43,0:15:19.31,**I now have to serve in bed!**,#A9A0FF
0:15:20.62,0:15:21.44,Qi Yan: Hah…,#A9A0FF
0:15:22.67,0:15:24.78,Nangong Jingnu: You… Why are you laughing?,#FF7D40
0:15:27.82,0:15:30.30,[Qi Yan blows out the candle],
0:15:34.19,0:15:35.13,Nangong Jingnu: What’s wrong?,#FF7D40
0:15:36.16,0:15:38.05,[Qi Yan finds her way to the bed in the dark],
0:15:38.21,0:15:38.98,Nangong Jingnu: Slow down,,#FF7D40
0:15:39.43,0:15:40.64,don’t trip over the foot rest.,#FF7D40
0:15:41.72,0:15:44.05,[Qi Yan grabs Nangong Jingnu’s wrist and holds it tight],
0:15:44.27,0:15:45.49,Nangong Jingnu: Ah!,#FF7D40
0:15:45.78,0:15:47.99,Qi Yan, you’re hurting me!,#FF7D40
0:15:48.19,0:15:50.95,[Qi Yan pushes Nangong Jingnu down onto the bed],
0:15:51.21,0:15:52.13,Qi Yan: Do you still remember,#A9A0FF
0:15:52.71,0:15:55.21,the ‘agreement of gentlemen’ we have made, Your Highness?,#A9A0FF
0:15:56.91,0:15:58.25,Nangong Jingnu: Let go of me first,,#FF7D40
0:15:58.45,0:15:59.31,it hurts…,#FF7D40
0:16:01.44,0:16:02.29,Qi Yan: Your Highness.,#A9A0FF
0:16:03.34,0:16:04.13,Nangong Jingnu: Qi Yan?,#FF7D40
0:16:05.88,0:16:07.01,Qi Yan: Do you remember that,#A9A0FF
0:16:07.60,0:16:09.49,we had sworn with our palms, Your Highness?,#A9A0FF
0:16:10.70,0:16:11.80,Nangong Jingnu: I remember,,#FF7D40
0:16:12.25,0:16:13.50,can you let go of me first?,#FF7D40
0:16:13.50,0:16:14.17,Qi Yan: In that case,,#A9A0FF
0:16:14.86,0:16:16.14,why did you provoke me, Your Highness?,#A9A0FF
0:16:17.26,0:16:18.49,Nangong Jingnu: Since when did I…,#FF7D40
0:16:19.67,0:16:20.44,Let go,,#FF7D40
0:16:21.39,0:16:22.39,it really hurts, Qi Yan…,#FF7D40
0:16:22.39,0:16:23.63,Qi Yan: You have gone back on your word, Your Highness.,#A9A0FF
0:16:25.27,0:16:27.16,Does that mean you wish to go to hell with this subject?,#A9A0FF
0:16:28.82,0:16:29.79,Nangong Jingnu: Qi Yan,,#FF7D40
0:16:30.10,0:16:31.84,can you get up first, please?,#FF7D40
0:16:31.84,0:16:33.08,Don’t be like this!,#FF7D40
0:16:33.71,0:16:34.29,I…,#FF7D40
0:16:35.09,0:16:36.83,Qi Yan: Do you still plan to honor the agreement, Your Highness?,#A9A0FF
0:16:38.72,0:16:41.01,Nangong Jingnu: The, the agreement of gentlemen,,#FF7D40
0:16:41.01,0:16:42.37,I, I…,#FF7D40
0:16:44.05,0:16:44.90,Qi Yan: Did Your Highness,,#A9A0FF
0:16:45.86,0:16:46.95,fall for this subject?,#A9A0FF
0:16:50.88,0:16:52.48,Nangong Jingnu: Ah… You, let go,,#FF7D40
0:16:52.48,0:16:55.25,then we can talk, alright?,#FF7D40
0:16:56.30,0:16:57.01,Qi Yan: Hmph.,#A9A0FF
0:16:57.70,0:16:59.21,[Qi Yan leans close to Nangong Jingnu],
0:17:01.48,0:17:02.43,Nangong Jingnu: Qi Yan!,#FF7D40
0:17:11.76,0:17:13.32,Qi Yan: Isn’t this what you wanted, Your Highness?,#A9A0FF
0:17:15.86,0:17:18.66,[Nangong Jingnu pushes Qi Yan off and slaps her],
0:17:26.02,0:17:28.84,Qi Yan: Please do not forget the agreement of gentlemen, Your Highness.,#A9A0FF
0:17:29.63,0:17:30.83,Excuse this subject.,#A9A0FF
0:17:31.01,0:17:33.95,[Qi Yan gets up and leaves],
0:17:39.81,0:17:43.99,[Nangong Jingnu wraps herself up with her blanket, sobbing],
0:17:59.20,0:18:02.47,[Princess estate, study],
0:18:09.14,0:18:10.32,Qi Yan: **Bear with it,**,#A9A0FF
0:18:10.85,0:18:11.90,**wait for it…**,#A9A0FF
0:18:12.49,0:18:14.74,**Compose yourself, Qiyan Aguna!**,#A9A0FF
0:18:15.51,0:18:16.53,**Compose yourself!**,#A9A0FF
0:18:24.44,0:18:26.71,Qi Yan: I should have seen this day coming,,#A9A0FF
0:18:27.36,0:18:27.93,no?,#A9A0FF
0:18:29.81,0:18:33.57,Qi Yan: **I just hope that Baying will be safe and sound.**,#A9A0FF
0:18:34.94,0:18:37.38,**Xiao-Die, meimei…**,#A9A0FF
